观点	频次
线条完美	32
加速没有顿挫	32
造型满意	32
内饰美观	32
手感非常不错	32
配置无敌	32
宽度不错	32
减震软	32
轮胎喜欢	32
性价比太高	32
价格还便宜	32
性价比还好	32
车身太大	32
方向盘有点大	32
操控性很强	32
内饰挺满意	32
减震不行	32
造型大	31
转弯好	31
做工很大	31
起步有点顿挫	31
动力有点小	31
配置好看	31
储物空间宽敞	31
减震很舒服	31
底盘很不错	31
性价极高	31
后排比较宽敞	31
油耗不满意	31
车身时尚	31
转弯小	31
内饰挺好看	31
气味较大	31
隔音很棒	31
后备箱空间满足	31
动力方面很满意	31
行灯喜欢	31
发动机动力强劲	31
尾箱小	31
排量好	31
声音特别大	31
性能非常好	31
操作不错	31
悬挂比较软	31
皮质座椅很舒服	31
换挡很好	31
外观很帅	31
发动机声音太大	31
中控实在	31
腰线漂亮	31
内饰用料厚道	31
空调不行	31
尾箱大	31
回头率非常高	31
前脸非常大气	31
用料硬	31
性能还不错	31
线条很漂亮	31
操控很容易	31
隔音比较好	31
刹车很灵活	30
回头率相当高	30
性价比低	30
后排行	30
后备箱空间太小	30
路感比较清晰	30
颜色很喜欢	30
省油大	30
成本不高	30
方向盘很小	30
减震小	30
噪音不好	30
空间绝对大	30
转速太高	30
舒适性最满意	30
头部空间足够	30
前脸饱满	30
导航很方便	30
性价非常好	30
转向适中	30
转弯灵活	30
配置还行	30
油耗太大	30
品质不错	30
坐椅舒服	30
外观简洁	30
操控挺满意	30
减震舒服	30
做工扎实	30
悬挂还行	30
气味小	30
线条饱满	30
动力很肉	30
减震适中	30
颜值满分	30
油耗最大	30
中控台大气	30
坐椅很舒服	30
油漆太薄	30
避震不好	30
腿部空间很充足	30
前脸很喜欢	30
做工很用心	30
底盘比较扎实	30
外形很大	30
底盘舒服	30
空调很棒	30
动力慢慢	30
屏幕好	30
空调挺好	30
发动机噪音很大	30
噪音控制非常好	30
内饰强	30
助力很好	30
动力最大	30
腰部不错	30
座椅行	29
车灯满意	29
动力不太好	29
用料还不错	29
方向盘高	29
储物空间挤	29
造型完美	29
异味还好	29
悬挂有些硬	29
起步很稳	29
内饰非常喜欢	29
动力非常棒	29
安全性不错	29
座椅挺不错	29
空间稍小	29
颜色满意	29
操控性强	29
底盘太低	29
印象好	29
转弯不错	29
价格很合适	29
刹车很快	29
油耗很惊喜	29
座椅很方便	29
操作很舒服	29
油耗更高	29
内饰不少	29
内饰奢华	29
外观较时尚	29
线条很强	29
空调出风口喜欢	29
内饰耐看	29
尾部性感	29
座椅不是很舒服	29
大屏喜欢	29
座位很舒服	29
日间行车灯犀利	29
做工很棒	29
空间赞	29
价位值得	29
后备箱空间还行	29
后排太挤	29
外形靓丽	29
空间特别宽敞	29
内饰最好	29
腰部好	29
性能良好	29
后备箱完美	29
车灯大	29
线条很好看	29
方向盘慢慢	29
外观特别喜欢	29
电子助力很轻松	29
操作便捷	29
空间很高	29
前后排空间大	29
乘坐挤	28
倒车很方便	28
舒适性良好	28
外观特别满意	28
动力有些不足	28
外观惊艳	28
舒适性较满意	28
车漆满意	28
中控高	28
隔音大	28
配置非常不错	28
风格很满意	28
安全感十足	28
换挡满意	28
起步慢慢	28
指向性很不错	28
工艺不错	28
悬挂偏舒适	28
刹车硬	28
内饰不够	28
减震偏软	28
排量不错	28
中控小	28
中控时尚	28
内饰精细	28
真皮座椅舒适	28
外观适合	28
线条好看	28
内饰比较精致	28
手感很棒	28
路感强	28
样子不错	28
内饰非常不错	28
外观设计很大	28
内饰差	28
配置小	28
空间非常充足	28
异味不是很大	28
储物空间不足	28
油箱小	28
舒适性强	28
后排宽松	28
动力最好	28
动力方面足够	28
提速稍慢	28
性价非常不错	28
加速挺好	28
噪音最大	28
舒适性很强	28
加速足够	28
高度合适	28
起步低	28
前脸挺好看	28
手动挡高	28
空调非常好	28
前排够	28
腿部空间不错	28
舒适性差些	28
噪音挺大	28
内饰适合	28
内饰挺喜欢	28
后备箱很宽敞	28
后排较宽敞	27
腰部很舒服	27
轮胎不错	27
轮毂不错	27
排量高	27
安全性很好	27
操控比较不错	27
新车味道很大	27
悬挂大	27
性价不好	27
内饰容易	27
悬架舒服	27
内部空间够	27
动力有点不够	27
路感较强	27
车尾好看	27
内饰丰富	27
中控太小	27
底盘较稳	27
外观比较年轻	27
按键布局合理	27
方向盘有点硬	27
内饰比较豪华	27
油耗相当不错	27
动力绝对够	27
外观全新	27
搭配好	27
胎噪稍大	27
价位最好	27
动力比较弱	27
动力非常够用	27
动力较肉	27
音响喜欢	27
操控平稳	27
空间实用	27
底盘较扎实	27
动力实在	27
提速还不错	27
市区油耗偏高	27
导航大	27
发动机还不错	27
发动机很安静	27
转向很稳	27
刹车高	27
车身很漂亮	27
空间不是特别大	27
动力很满足	27
外形美观	27
内饰很温馨	27
动力非常充足	27
细节满意	27
油耗很理想	27
加速想要	27
前排很大	27
换挡无顿挫	27
底盘挺扎实	27
动力一般	27
造型美观	27
爆发力强	27
异味较小	27
全景天窗大	27
市区油耗有点高	27
油耗满足	27
配置还高	26
排量有点小	26
噪音控制还不错	26
流线很好	26
空间还很大	26
发动机震动	26
仪表不错	26
备胎小	26
做工较精细	26
隔音效果满意	26
细节不好	26
避震较硬	26
配置相当丰富	26
外观美	26
提速顿挫	26
舒适度很满意	26
外形帅气	26
外观设计年轻	26
省油满意	26
性价挺好	26
悬挂很软	26
座椅偏软	26
储物空间很丰富	26
加速有劲	26
动力合适	26
刹车信心	26
指向很清晰	26
后备箱空间好	26
空间优秀	26
悬挂略硬	26
内饰不喜欢	26
做工比较细致	26
腿部空间宽敞	26
挂挡顿挫	26
视野非常好	26
储物大	26
配置蛮高	26
噪音略大	26
油耗还满意	26
空间宽松	26
车身震动	26
隔音太差	26
外形犀利	26
爆发力很强	26
外观不好	26
全景天窗超大	26
头部空间充裕	26
按键很方便	26
减震稍微硬	26
价位太高	26
空间最好	26
车头好看	26
方向盘指向清晰	26
配置高档	26
中控方便	25
动力比较强	25
装饰喜欢	25
座椅很宽敞	25
异味比较大	25
换挡喜欢	25
手动挡好	25
动力挺强劲	25
大屏好	25
舒适感很强	25
质感很棒	25
转弯很轻松	25
底盘足够	25
价格差	25
储物空间太小	25
发动机很大	25
大灯非常漂亮	25
操控差	25
腰线很漂亮	25
减震不舒服	25
手感也好	25
档位很好	25
面板容易	25
底盘略硬	25
加速大	25
动力不是很高	25
空调不够	25
空调舒适	25
性价比比较满意	25
大灯不亮	25
动力疲软	25
座椅很实用	25
操控相当不错	25
悬架较舒适	25
过弯比较稳	25
内空间够用	25
加速不够	25
前排高	25
同价位最高	25
外观独特	25
悬挂舒服	25
配置最好	25
空调还不错	25
底盘有些硬	25
后备箱比较小	25
后排挺大	25
腿部空间小	25
乘坐比较舒服	25
后备箱空间很满意	25
风噪不错	25
味道满意	25
动力方面满意	25
车身平稳	25
尾灯非常漂亮	25
油耗喜欢	25
音响效果很棒	25
底盘舒适	25
动力非常足	25
避震太硬	25
性价挺不错	25
造型很好	25
价格良心	25
座椅较柔软	25
油耗蛮低	25
性能挺好	25
后排美中不足	25
提速平稳	25
质量不好	25
扭矩牛	25
头部空间很充足	25
材料塑料	25
地盘稳	25
舒适性蛮不错	25
安全性很高	25
皮座椅很舒服	25
后备箱实在	25
空间很足够	25
空调差	24
空调方便	24
前后排空间够用	24
质感非常不错	24
轮胎玲珑	24
质量很不错	24
内饰用料很好	24
动力不是很好	24
减震不是太好	24
性价比最大	24
回头率不错	24
大灯霸气	24
后排差	24
排量低	24
味道不是很大	24
底盘厚重	24
颜色靓丽	24
性能满意	24
后备箱较小	24
后排较小	24
外观设计很好	24
提速轻松	24
操控最满意	24
样子漂亮	24
发动机最强	24
发动机小	24
变速箱完美	24
做工较精致	24
悬架比较软	24
全景天窗满意	24
风噪挺大	24
空调很不错	24
提速良好	24
变速箱很不错	24
减震比较好	24
后备箱还行	24
操控性良好	24
动力比较强劲	24
发动机动力足够	24
空间良好	24
动力强大	24
样式喜欢	24
新车味道较大	24
胎噪很小	24
起步很平稳	24
座椅很高	24
配置完美	24
动力较强	24
动力不是很强	24
乘坐很宽敞	24
乘坐还行	24
大灯够用	24
外表喜欢	24
风噪太大	24
起步高	24
做工比较好	24
转弯轻松	24
配置非常好	24
地盘很好	24
外观特别好看	24
操控性比较好	24
用料比较厚道	24
方向盘较好	24
用料软	24
搭配大	24
价钱高	24
车身够	24
底盘挺好	24
质感十足	24
性能较好	24
换挡有点顿挫	24
做工喜欢	24
储物空间够	24
悬架略硬	24
体型大	24
外观无敌	24
加速不足	24
头部空间够用	24
大灯很好	24
真皮座椅好	24
搭配时尚	24
声音很好听	24
内饰无敌	24
空间比较充裕	24
操控十足	24
悬架很舒服	24
油箱太小	24
线性不够	24
做工很满意	23
质量差	23
前排还不错	23
前后排很大	23
座椅最好	23
空间也好	23
起步喜欢	23
后备箱空间较小	23
价钱便宜	23
空间有点拥挤	23
按键方便	23
油耗没得说	23
乘坐较舒服	23
头部空间大	23
车灯大气	23
换挡很快	23
方向盘稍重	23
配置值得	23
提速想要	23
发动机安静	23
底盘挺稳	23
方向盘硬	23
马力足够	23
配置没得说	23
后备箱喜欢	23
做工不够	23
底盘偏舒适	23
油耗那么高	23
造型耐看	23
储物空间拥挤	23
减震漏油	23
造型年轻	23
车身饱满	23
外形酷	23
做工良心	23
空间比较充足	23
异味不错	23
换挡平稳	23
舒适度非常不错	23
静音效果非常好	23
后备箱很方便	23
尾灯大	23
动力较强劲	23
味道重	23
头部空间充足	23
屏幕喜欢	23
座椅没得说	23
减震舒适	23
后排很满意	23
隔音不是太好	23
外形炫酷	23
外观值得	23
真皮座椅很好	23
动力太大	23
后备箱空间充足	23
天窗有点小	23
油耗合适	23
座椅容易	23
新车味道比较大	23
造型硬朗	23
空间蛮大	23
动力优秀	23
发动机很不错	23
容积不错	23
空间很合适	23
噪音舒服	23
起步不好	23
加速非常好	23
显示屏很大	23
内饰比较时尚	23
前脸全新	23
内饰用料扎实	23
后备箱空间特别大	23
前后排很宽敞	23
前大灯犀利	23
内饰非常精致	23
尺寸小	23
配置合适	23
流线完美	23
起步还好	23
操控非常满意	23
定速巡航很方便	23
异味很少	23
隔音效果不是特别好	23
地盘很整	23
动力比较充足	23
灯光满意	23
舒适性不少	23
尾部好看	23
档位顿挫	23
质量杠杠	23
空间有点挤	23
动力稍微弱	23
后排很难受	23
刹车挺好	23
手感细腻	23
胎噪小	23
悬挂稍硬	23
座椅很喜欢	23
视野大	23
外观非常霸气	22
操作不方便	22
空间适中	22
音质很好	22
内饰很高大	22
方向盘不好	22
后排非常舒服	22
颜值好	22
动力比较足	22
换挡慢	22
做工很细腻	22
刹车很棒	22
头部空间不足	22
操作舒适	22
线条很优美	22
颜值没得说	22
中控台很大	22
做工挺精致	22
动力失望	22
空间低	22
储物空间舒服	22
刹车适中	22
空间挺充足	22
氛围灯很漂亮	22
外观成熟	22
内部空间挺大	22
车身漂亮	22
发动机成熟	22
省油不错	22
外观特别时尚	22
性价很满意	22
油耗行	22
发动机声音偏大	22
挂挡不好	22
内饰相当满意	22
空间不行	22
油耗差	22
味道有些大	22
悬架很软	22
后视镜好	22
轴距不错	22
性能稳定	22
前脸十足	22
座椅稍硬	22
定速巡航很实用	22
耗油有点高	22
手感较好	22
造型很喜欢	22
配置那么高	22
做工塑料	22
导航不错	22
噪声小	22
空间灵活	22
内空间不错	22
动力比较不错	22
配置非常满意	22
底盘稍硬	22
乘坐非常舒服	22
档杆小	22
手感喜欢	22
自动挡很好	22
空间绝对满意	22
前排很舒适	22
座位很宽敞	22
座椅好评	22
起步稳	22
车灯很犀利	22
换挡流畅	22
舒适度没得说	22
后排压抑	22
转向很准确	22
发动机够	22
噪音稍微大	22
避震不错	22
导航垃圾	22
味道有点重	22
胎噪好	22
动力很平稳	22
小毛病不少	22
加速很稳	22
空间差点	22
提速有力	22
储物够	22
噪音非常大	22
外观精美	22
声音有些大	22
方向盘很容易	22
车身稳重	22
转向沉稳	22
流线漂亮	22
方向盘手感挺好	22
方向盘够	22
变速箱没有顿挫	22
味道还好	22
刹车还好	22
中控不足	22
屏幕有点小	22
方向盘稳	22
线性很好	22
前脸非常霸气	22
起步不足	22
腰部舒服	22
声音不好	22
操控高	22
空间多大	22
倒车影像很好	22
价格小	22
视野比较好	22
底盘非常扎实	22
后排硬	22
车身比较稳	21
前大灯喜欢	21
颜值好看	21
换挡不够	21
做工挺不错	21
视觉效果很好	21
地盘满意	21
加速很满意	21
声音略大	21
轮毂够	21
尾灯帅气	21
转向重	21
操控特别好	21
操作顺手	21
提速慢慢	21
内饰丑	21
电子手刹好	21
隔音效果不是太好	21
动力牛	21
大屏很喜欢	21
噪音还不错	21
天窗不错	21
油耗完美	21
装饰软	21
味道挺大	21
过弯大	21
轮毂大气	21
噪音较小	21
味道不错	21
加速十足	21
性价比够	21
大灯时尚	21
空间有些小	21
油耗方面不错	21
车身十足	21
座椅有些硬	21
动力较充沛	21
后排值得	21
空调足够	21
高度不够	21
性价杠杠	21
内部空间不错	21
方向盘太沉	21
回头率极高	21
车身较稳	21
加速强	21
视觉很好	21
中控十足	21
轮胎满意	21
空间方便	21
内饰较简洁	21
价格值得	21
动力特别强劲	21
外观很酷	21
外观均匀	21
自动挡不错	21
噪音特别大	21
噪音高	21
转向有点重	21
胎噪挺大	21
动力慢	21
后排较大	21
配置很厚道	21
故障率低	21
价格比较满意	21
方向盘有些重	21
座椅比较硬	21
后备箱宽大	21
起步较弱	21
座椅舒适度高	21
细节好	21
提速很不错	21
动力更强	21
底盘不好	21
后备厢容积拥挤	21
排量够	21
性价相当不错	21
动力方面很不错	21
指向很好	21
噪音非常小	21
座椅非常软	21
外观足够	21
内空间挺大	21
外表时尚	21
配置强大	21
空间不是大	21
外观比较耐看	21
油耗比较大	21
底盘挺高	21
舒适性挺满意	21
外观相当漂亮	21
价位实在	21
配置挺不错	21
仪表盘清晰	21
刹车灵活	21
内饰相当不错	21
高度不错	21
性价比豪华	21
噪音控制很不错	21
减震大	21
后排没有拥挤	21
发动机动力充沛	21
车头很大	21
自动挡满意	21
加速很平稳	21
底盘偏软	21
操作流畅	21
质感强	21
前排喜欢	21
轮毂小	21
灯光不够	21
价位挺不错	21
刹车容易	21
声音不错	21
价位无敌	21
轮胎有点小	20
后备箱有点高	20
价格适合	20
空间还比较满意	20
方向盘不够	20
油耗熟练	20
加速满足	20
空调很少	20
省油舒适	20
内饰很年轻	20
空间没有太大	20
操控准确	20
外观不少	20
车价不高	20
配置很少	20
扭矩低	20
方向盘还行	20
助力不错	20
操控很流畅	20
转向喜欢	20
动力稍微差点	20
座位很好	20
空间好看	20
发动机满足	20
踏板太高	20
空间非常棒	20
回头率太高	20
转向比较清晰	20
配置挺满意	20
油耗很棒	20
座椅豪华	20
车身比较大	20
换挡不好	20
操作喜欢	20
越野十足	20
挡位低	20
外观颜值很高	20
舒适感强	20
座椅差	20
隔音效果较好	20
性能出色	20
起步很轻松	20
外观美观	20
性价比最满意	20
空间很理想	20
外观非常不错	20
空调很大	20
操作很好	20
后排不够	20
转向很舒服	20
乘坐很不错	20
内部空间足够	20
价格不少	20
内饰布局合理	20
中控台很漂亮	20
中控台很好	20
噪音很低	20
外观实在	20
后排憋屈	20
油耗方面满意	20
噪音硬	20
做工有点粗糙	20
发动机最高	20
造型很犀利	20
油耗值得	20
加速不行	20
空间较好	20
加速乏力	20
悬挂太软	20
质感还不错	20
异味塑料	20
中控台大	20
油耗方面很满意	20
皮质座椅很好	20
操控顺手	20
导航喜欢	20
样式较新颖	20
油耗重	20
气味好	20
操控性很满意	20
方向盘挺轻巧	20
中控完美	20
电子助力很好	20
空间比较舒适	20
价格不便宜	20
刹车挺好用	20
操作比较方便	20
做工非常不错	20
刹车有点偏软	20
起步稍弱	20
后排抖动	20
舒适度比较满意	20
配置漂亮	20
起步小	20
尾灯时尚	20
乘坐良好	20
按键很少	20
座椅赞	20
造型很独特	20
底盘还不错	20
操控完美	20
车灯霸气	20
动力方面很好	20
方向盘有点小	20
故障好	20
操控非常方便	20
噪音控制满意	20
尾部敦实	20
仪表清晰	20
发动机噪音太大	20
车灯高	20
油耗优秀	20
扶手箱小	20
内饰比较大气	20
舒适性特别好	20
座椅特别好	20
储物空间非常大	20
起步挺好	20
内部空间满意	20
空调不好	20
车灯好	20
起步很强	20
车身完美	20
颜色不耐脏	20
油耗偏大	19
转弯信心	19
起步有力	19
后排很不错	19
大屏清晰	19
车头饱满	19
方向盘清晰	19
后排更舒服	19
座椅太高	19
后排难受	19
外观不喜欢	19
颜色漂亮	19
转速很快	19
外观顺眼	19
后排非常宽敞	19
多功能方向盘方便	19
中控台漂亮	19
配置足	19
流线很漂亮	19
流线不错	19
线条大气	19
动力很轻松	19
异味喜欢	19
轮胎小	19
质感硬	19
配置也好	19
发动机强劲	19
同价位大	19
隔音不够	19
回头率爆表	19
油耗相当低	19
车头很漂亮	19
方向盘比较灵活	19
动力很稳	19
油耗方面高	19
空间想要	19
内饰实在	19
油耗满分	19
驾驶座好	19
空间棒棒	19
减震较好	19
造型很大	19
外观酷	19
座椅最大	19
仪表盘好	19
车身比较小	19
胎噪稍微大	19
内饰不足	19
动力很优秀	19
氛围灯喜欢	19
空间特别满意	19
手感适中	19
头部空间好	19
刹车非常好	19
音质挺好	19
价格较低	19
起步稍微肉	19
车身较高	19
性价十足	19
舒适度大	19
操控性还行	19
用料满意	19
中控台时尚	19
轴距满意	19
自适应巡航很好	19
加速很慢	19
储物空间还好	19
后备箱空间还不错	19
操控小	19
车身容易	19
悬挂很舒服	19
起步差点	19
日间行车灯不错	19
外观颜值满意	19
过弯稳定	19
视野很宽阔	19
中控太容易	19
出风口完美	19
异响好	19
操控非常舒服	19
价位塑料	19
外观靓	19
噪音控制还行	19
定速巡航喜欢	19
车身线条优美	19
材料很好	19
座位不错	19
座椅也好	19
起步足够	19
座椅特别软	19
发动机担心	19
风格满意	19
隔音较差	19
视觉效果好	19
皮座椅不错	19
内饰不耐脏	19
价格还好	19
内饰稳重	19
外观非常帅气	19
操控比较灵活	19
手感挺不错	19
内饰沉稳	19
容积够用	19
按键不错	19
车头低	19
搭配很喜欢	19
悬架比较舒适	19
操控流畅	19
油耗还不高	19
颜值更高	19
动力惊喜	19
马力高	19
操作很流畅	19
性能还行	19
内饰很用心	19
起步不够	19
底盘硬朗	19
性能很出色	19
舒适性相当不错	19
前脸精致	19
音质很不错	19
过弯很小	19
避震比较硬	19
新车味道很小	19
储物足够	19
腰线硬朗	19
仪表硬	19
搭配好看	19
刹车较好	19
动力相当满意	19
加速轻松	19
离合担心	19
车灯很好看	19
动力绝对杠杠	18
胎噪过大	18
内饰良心	18
地盘舒适	18
油耗舒适	18
性价特别高	18
内空间满意	18
车身线条硬朗	18
动力方便	18
油耗特别高	18
空间那么大	18
大灯很喜欢	18
空调慢	18
颜值太高	18
质感豪华	18
后备箱遗憾	18
前脸很高	18
按键好	18
ESP遗憾	18
车身不重	18
动力有点差	18
线条漂亮	18
动力方面还不错	18
声音震动	18
内饰用心	18
过弯平稳	18
外形好	18
外观比较漂亮	18
胎噪不错	18
内部空间够用	18
蓝牙很方便	18
异味有点重	18
加速差	18
储物空间还不错	18
后排略小	18
空间有点紧凑	18
储物空间还行	18
提速很稳	18
换挡轻松	18
价钱低	18
稳定性较好	18
内空间很宽敞	18
中控很喜欢	18
颜值够	18
乘坐不舒服	18
外观设计很棒	18
方向盘足够	18
外观很高	18
前排很不错	18
油耗不准确	18
异响大	18
外表大气	18
中控不够	18
尺寸好	18
操控比较方便	18
手感塑料	18
风格很好	18
价格比较合适	18
踏板有点高	18
音响还不错	18
流线喜欢	18
尾灯犀利	18
动力重	18
外表吸引	18
大灯最喜欢	18
后备箱挤	18
方向盘还好	18
加速妥妥	18
省油够	18
日间行车灯漂亮	18
空间方面满意	18
起步不行	18
底盘很棒	18
后备箱拥挤	18
外形年轻	18
发动机噪音偏大	18
转向平稳	18
发动机动力够用	18
后排紧凑	18
动力方面还行	18
内饰不好看	18
市区油耗较高	18
空调最高	18
颜值大	18
胎噪硬	18
转弯比较稳	18
座椅塑料	18
座椅很满意	18
声音好听	18
减震很软	18
减震差点	18
方向盘比较轻巧	18
细节很不错	18
电子助力喜欢	18
油耗非常好	18
悬架挺好	18
定速巡航不错	18
空间很小	18
发动机声音略大	18
离合慢	18
加速不好	18
操控硬	18
空间比较好	18
内饰差点	18
倒车影像很实用	18
转向还不错	18
配置特别丰富	18
行灯犀利	18
配置很大	18
仪表好	18
座椅好看	18
仪表盘漂亮	18
车价便宜	18
空调杠杠	18
转向非常清晰	18
刹车很不错	18
头部空间宽敞	18
配置很良心	18
材质很舒服	18
刹车平稳	18
动力有点慢	18
隔音效果很棒	18
舒适性小	18
油耗不行	18
动力最强	18
舒适度挺不错	18
上坡肉	18
外观设计满分	18
舒适度还好	18
配置比较实用	18
起步很足	18
外形拉风	18
电子助力不错	18
市区油耗略高	18
线条简洁	18
坐垫好	18
发动机喜欢	18
中控布局合理	18
悬挂有点软	18
车头很霸气	18
车头大	18
内空间够	18
灯光不错	18
动力舒服	18
造型非常时尚	18
档位合适	18
腰线性感	18
内饰比较好看	17
天窗满意	17
制动不错	17
多功能方向盘很好	17
胎噪还好	17
坐椅很好	17
离地间隙大	17
工艺很好	17
储物不错	17
造型很不错	17
转弯很平稳	17
空调也好	17
方向盘行	17
前脸比较大气	17
做工有点差	17
过弯高	17
颜色不喜欢	17
动力适中	17
定速巡航舒服	17
价格很大	17
发动机稳定	17
悬挂还不错	17
空间设计不错	17
操控挺顺手	17
静音效果还不错	17
油耗强	17
仪表满意	17
操控性满意	17
舒适性比较高	17
转速稳定	17
导航很实用	17
空间宽阔	17
加速没得说	17
视觉很强	17
指向很精确	17
屏幕清晰	17
底盘震动	17
起步不是很快	17
扶手箱好	17
舒适性稍微差点	17
车漆好	17
指向性非常好	17
性价比不好	17
悬架还好	17
油耗不是太高	17
后排满足	17
车身高大	17
颜色大气	17
动力蛮不错	17
屏幕挺大	17
转速偏高	17
空间有点不足	17
外形很酷	17
储物空间有点小	17
线性好	17
指向性准确	17
空调够	17
座椅很合适	17
内饰较好	17
多功能方向盘喜欢	17
车身吸引	17
价位良心	17
头部空间够	17
发动机牛	17
转向小	17
高度足够	17
油耗最好	17
空调特别好	17
舒适性没话说	17
舒适度比较高	17
空间很赞	17
手感满意	17
性价比小	17
轮毂好	17
外观设计很好看	17
后排担心	17
价钱合适	17
方向盘震动	17
用料厚实	17
后备箱空间不是很大	17
马力不错	17
操控想要	17
长度适中	17
后排很宽裕	17
离合偏高	17
车头犀利	17
底盘强	17
氛围灯不错	17
空间绝对足够	17
中控台好看	17
后备箱充足	17
大屏很实用	17
方向盘慢	17
气格栅很大	17
自动挡低	17
自动挡高	17
前后排空间很大	17
车尾性感	17
品质值得	17
中控豪华	17
座椅不足	17
电动座椅好	17
操作轻便	17
皮质座椅很软	17
配置享受	17
前脸高	17
外观好评	17
外形非常漂亮	17
配置还好	17
动力不是太好	17
油耗不足	17
空间方面不错	17
方向盘很不错	17
价格偏贵	17
座椅非常不错	17
动力特别好	17
操控差点	17
性价比相当不错	17
上坡不费力	17
内饰不差	17
减震非常好	17
内饰用料很厚道	17
底盘比较好	17
配置相当不错	17
屏幕较大	17
起步有点迟钝	17
动力方面挺好	17
操控很轻巧	17
动力出色	17
视线高	17
线条十足	17
经济模式够用	17
座椅有点高	17
悬挂还好	17
性能非常不错	17
音响大	17
稳定性很不错	17
轮毂很大	17
配置较满意	17
配置不够	17
外观设计新颖	17
多功能方向盘不错	17
变速箱不好	17
品质很好	17
座椅不少	17
外观设计好	16
油耗方面较满意	16
外形霸气	16
内饰很良心	16
内饰比较好	16
舒适性不是很好	16
按键清晰	16
油耗平稳	16
运动模式好	16
转向轻巧	16
中控很高大	16
操控棒棒	16
底盘稳定	16
车漆容易	16
价位比较满意	16
质感差	16
悬架稍硬	16
异响容易	16
刹车稳	16
大屏很好	16
倒车好	16
风格很不错	16
安全性满意	16
外表好看	16
转向挺好	16
座位舒适	16
空间较充足	16
踏板高	16
内饰想要	16
内饰用料好	16
腰线高	16
动力比较好	16
噪音不足	16
加速强劲	16
地盘够	16
转速较高	16
手感偏重	16
方向盘很顺手	16
动力挺充沛	16
动力最为满意	16
配置大气	16
后备箱最大	16
外观很靓	16
运动模式喜欢	16
配置不差	16
异味比较重	16
指向性强	16
风噪还好	16
样式不错	16
视野宽敞	16
出风口很大	16
外观相当满意	16
价格比较便宜	16
车头最喜欢	16
费用较高	16
底盘高级	16
中控不好	16
视野较好	16
气味有点重	16
性价比不是很高	16
地盘很高	16
空调更肉	16
过弯小	16
底盘还好	16
起步有些慢	16
内饰非常棒	16
爬坡肉	16
刹车大	16
车身很不错	16
风格很时尚	16
空间非常足够	16
风格比较满意	16
配置相当高	16
中控不好看	16
搭配很不错	16
质量还不错	16
储物空间很充足	16
车漆好看	16
加速信心	16
避震满意	16
外形大	16
提速很满意	16
前大灯很犀利	16
隔音稍差	16
性价值得	16
操控很大	16
排放满足	16
刹车很实用	16
自动驻车很好	16
挂挡很流畅	16
转向不足	16
空间非常舒适	16
大灯高	16
气格栅大气	16
天窗高	16
异响不好	16
操作很容易	16
动力较差	16
储物好	16
性价喜欢	16
空间不太够	16
细节人性化	16
性价较好	16
性价最满意	16
省油小	16
后备箱巨大	16
气质优雅	16
油耗过高	16
外形硬朗	16
操控性非常不错	16
配置较实用	16
大灯大气	16
后备箱有点大	16
内饰很舒适	16
后排不是很舒服	16
方向盘非常轻巧	16
做工值得	16
乘坐够	16
隔音相当不错	16
做工比较满意	16
座椅材质很软	16
腰部不够	16
价格喜欢	16
面板太容易	16
指向模糊	16
刹车有点硬	16
空间布局合理	16
空调不足	16
导航很好	16
性价低	16
颜色很好看	16
尾部漂亮	16
路感太清晰	16
尾灯很喜欢	16
舒适性稍差	16
空间方面没得说	16
安全系数很高	16
价位很少	16
后备箱高	16
发动机杠杠	16
风格很大	16
尾灯大气	16
电动座椅很方便	16
油耗方便	16
油耗惊人	16
操控较舒服	16
胎噪比较小	16
发动机声音不错	16
颜值不少	16
做工也好	16
操控优秀	16
轮毂时尚	16
起步费劲	16
外观非常年轻	16
刹车特别好	16
轴距很大	16
方向盘非常轻便	16
颜色很满意	16
舒适度比较好	16
转向稳	16
后排比较舒服	16
后排偏硬	16
悬挂挺好	16
声音不是很大	16
皮质座椅舒适	16
爬坡有劲	16
座椅较高	16
减震挺不错	16
外观满足	16
档位不太好	16
底盘软	16
外观低	16
舒适度非常高	16
储物空间很不错	16
油耗够低	16
颜值帅气	16
方向盘也好	16
加速还好	16
加速很爽	16
动力差些	16
空间非常宽裕	16
避震好	16
尾灯很不错	16
风格好	16
指向清楚	16
底盘还行	16
质感很强	16
油耗蛮高	15
长度够	15
座椅舒适度好	15
座椅比较满意	15
座椅低	15
稳定性非常好	15
车窗满意	15
皮座椅很好	15
配置实在	15
性价较不错	15
大灯很霸气	15
做工较粗糙	15
舒适性不高	15
头部空间很充裕	15
油耗不是很满意	15
涡轮喜欢	15
外形很时尚	15
前脸超大	15
空调很舒服	15
空间十分宽敞	15
尾灯特别好看	15
油箱有点小	15
车身紧凑	15
性能很强	15
外观最好	15
后备箱不好	15
内空间比较大	15
仪表盘好看	15
质量太差	15
线条时尚	15
座椅挺柔软	15
转向合适	15
避震不是很好	15
操控强	15
动力有劲	15
颜值比较高	15
提速非常不错	15
配置没话说	15
动力有些弱	15
前后排空间足够	15
动力相当充沛	15
多功能方向盘实用	15
地盘好	15
涡轮很快	15
起步疲软	15
异响受不了	15
操控性很棒	15
后排适合	15
导航难用	15
悬架还不错	15
马力十足	15
空间十足	15
线条好	15
中控最喜欢	15
前排小	15
噪音控制不好	15
油耗较好	15
